name,review_count,rating,latitude,longitude,categories,source
Philadelphia Korean War Memorial at Penn's Landing,3,4,39.925011,-75.173264,Landmarks & Historical Buildings;landmarks,yelp
Declaration House,4,2.5,39.95079405,-75.15213872,Landmarks & Historical Buildings;landmarks,yelp
Old City Hall,2,4.5,39.94902039,-75.14920807,Landmarks & Historical Buildings;landmarks,yelp
First Bank of the United States,2,4.5,39.94831279,-75.1461558,Landmarks & Historical Buildings;landmarks,yelp
Philadelphia Chinatown,2,4.5,39.95193863,-75.15875244,Landmarks & Historical Buildings;landmarks,yelp
Lemon Hill Mansion,4,3.5,39.9693718,-75.1847534,Landmarks & Historical Buildings;landmarks,yelp
Fort Mifflin,7,4,39.88678,-75.23371658,Landmarks & Historical Buildings;landmarks,yelp
Chinatown Friendship Gate,7,4,39.9535498,-75.1562798,Landmarks & Historical Buildings;landmarks,yelp
Logan Circle,8,4,39.96244,-75.19993,Landmarks & Historical Buildings;landmarks,yelp
Powel House,2,5,39.9457512,-75.14711,Landmarks & Historical Buildings;landmarks,yelp
Comcast Center,4,3.5,39.96244,-75.19993,Landmarks & Historical Buildings;landmarks,yelp
Concord School House and Upper Burying Ground,1,5,40.043999,-75.180954,Landmarks & Historical Buildings;landmarks,yelp
Indian King Tavern Museum,3,5,39.89909,-75.030434,Landmarks & Historical Buildings;landmarks,yelp
The Signer Statue,1,5,39.915777,-75.28474,Landmarks & Historical Buildings;landmarks,yelp
Shoemaker Green,1,4,39.95189388,-75.18993884,Landmarks & Historical Buildings;landmarks,yelp
Robert Morris Statue,1,4,39.9526901,-75.1499481,Landmarks & Historical Buildings;landmarks,yelp
John Barry Statue,1,4,39.9526901,-75.1499481,Landmarks & Historical Buildings;landmarks,yelp
Germantown White House,2,3.5,40.033607,-75.172401,Landmarks & Historical Buildings;landmarks,yelp
Federal Detention Center,1,3,39.9528389,-75.151741,Landmarks & Historical Buildings;landmarks,yelp
Presbyterian Historical Society,1,3,39.94275123,-75.14949583,Landmarks & Historical Buildings;landmarks,yelp
Guild House,1,3,39.961807,-75.150772,Landmarks & Historical Buildings;landmarks,yelp
Camden County Jail,1,3,39.943489,-75.12368,Landmarks & Historical Buildings;landmarks,yelp
Mount Pleasant,1,3,39.984452,-75.19767,Landmarks & Historical Buildings;landmarks,yelp
Tinicum Rear Range Lighthouse,2,3.5,39.8482343,-75.2405185,Landmarks & Historical Buildings;landmarks,yelp
Aldan Historical Commission,1,1,39.9223747,-75.2871857,Landmarks & Historical Buildings;landmarks,yelp
Upper Roxborough Reservoir,1,4,40.05634599,-75.24019003,Landmarks & Historical Buildings;landmarks,yelp
Harriton house,2,4,40.0345254,-75.3095522,Landmarks & Historical Buildings;landmarks,yelp
Township of Nether Providence,2,2.5,39.900375,-75.368568,Landmarks & Historical Buildings;landmarks,yelp
Bartram's Garden,27,4.5,39.93346006,-75.21555997,Landmarks & Historical Buildings;landmarks|Botanical Gardens;gardens,yelp
St John the Evangelist Church,8,5,39.95127663,-75.16154163,Churches;churches,yelp
St. Peter's Church,1,5,39.9435692,-75.1476898,Churches;churches,yelp
The Porch At 30th Street Station,4,4,39.9548378,-75.1823959,Landmarks & Historical Buildings;landmarks|Farmers Market;farmersmarket,yelp
Comcast Communications,24,2,39.9542503,-75.1683502,Landmarks & Historical Buildings;landmarks|Internet Service Providers;isps,yelp
South Street Headhouse District,9,4,39.9422112,-75.1455536,Landmarks & Historical Buildings;landmarks|Local Flavor;localflavor,yelp
Historic Rittenhouse Town,1,4,40.02952335,-75.18975444,Landmarks & Historical Buildings;landmarks|Local Flavor;localflavor,yelp
Old Central School House,1,4,39.92785399,-75.33317544,Landmarks & Historical Buildings;landmarks|Meeting Space;meetingspace,yelp
Edgar Allan Poe House,41,3.5,39.96165946,-75.14984451,Landmarks & Historical Buildings;landmarks|Museums;museums,yelp
Fireman's Hall Museum,13,4.5,39.9532394,-75.1427536,Landmarks & Historical Buildings;landmarks|Museums;museums,yelp
Independence Seaport Museum,21,4,39.94610297,-75.14035348,Landmarks & Historical Buildings;landmarks|Museums;museums,yelp
Ebenezer Maxwell Mansion,8,4,40.0382309,-75.1836319,Landmarks & Historical Buildings;landmarks|Museums;museums,yelp
African American Museum of Philadelphia,4,3,39.9535103,-75.1519394,Landmarks & Historical Buildings;landmarks|Museums;museums,yelp
Schuylkill River Trail,13,5,40.02346141,-75.22111952,Landmarks & Historical Buildings;landmarks|Parks;parks,yelp
Butterfly Garden,1,4,39.9471512,-75.1487885,Landmarks & Historical Buildings;landmarks|Parks;parks,yelp
Elfreth's Alley,10,3.5,39.95275116,-75.1424942,Landmarks & Historical Buildings;landmarks|Tours;tours,yelp
German Society of Pennsylvania,2,5,39.96163371,-75.1492484,Language Schools;language_schools|Meeting Space;meetingspace,yelp
Charles Santore  Library,4,5,39.9370384,-75.1552734,Libraries;libraries,yelp
Athenaeum of Philadelphia,3,5,39.94687714,-75.15120305,Libraries;libraries,yelp
Foundation Board of Free Library of Philadelphia,3,5,39.95993,-75.170952,Libraries;libraries,yelp
Free Library of Philadelphia - Walnut Street West,13,3.5,39.953812,-75.2024258,Libraries;libraries,yelp
Free Library of Philadelphia,59,4.5,39.95970265,-75.17057518,Libraries;libraries,yelp
Samuel L. Paley Library,2,4,39.98125338,-75.1544666,Libraries;libraries,yelp
Thomas Donatucci Branch - Free Library,1,5,39.91965659,-75.18009138,Libraries;libraries,yelp
Free Library of Philadelphia - Kingsessing Branch,2,4,39.9424232,-75.2190241,Libraries;libraries,yelp
Free Library of Philadelphia - Richmond Branch,2,5,39.9829919,-75.1085595,Libraries;libraries,yelp
American Philosophical Society,1,4,39.9498253,-75.1488876,Libraries;libraries,yelp
Fishtown Community Library,3,4,39.9717789,-75.127327,Libraries;libraries,yelp
Free Library of Philadelphia - Falls of Schuylkill Branch,4,4.5,40.013904,-75.192311,Libraries;libraries,yelp
The Library Company of Philadelphia,2,4,39.947784,-75.163071,Libraries;libraries,yelp
Scott Memorial Library,2,4,39.9483528,-75.1576385,Libraries;libraries,yelp
Free Library of Philadelphia - Philadelphia City Institute,15,3.5,39.949354,-75.173105,Libraries;libraries,yelp
Free Library of Philadelphia - Independence Branch,6,3.5,39.9503068,-75.1521624,Libraries;libraries,yelp
Free Library of Philadelphia - Haverford Branch,1,2,39.967303,-75.230761,Libraries;libraries,yelp
Free Library of Philadelphia - Greater Olney Branch,1,4,40.034893,-75.130667,Libraries;libraries,yelp
Narberth Community Library,1,4,40.0049286,-75.266243,Libraries;libraries,yelp
McPherson Public Library,1,4,39.99625506,-75.10916211,Libraries;libraries,yelp
Free Library of Philadelphia - Wynnefield Branch,1,1,39.9949086,-75.2338612,Libraries;libraries,yelp
Upper Darby Twp & Sellers Memorial Free Library,1,3,39.9618149,-75.2736282,Libraries;libraries,yelp
Belmont Hills Library,1,4,40.02359569,-75.24129577,Libraries;libraries,yelp
Yeadon Public Library,1,2,39.936039,-75.2506332,Libraries;libraries,yelp
Palinet and Union Library Catalogue of PA,1,4,39.9547272,-75.1836319,Libraries;libraries,yelp
Elkins Park Free Library,1,4,40.07631652,-75.12664743,Libraries;libraries,yelp
West Deptford Township Free Public Library,3,4.5,39.84437652,-75.19029759,Libraries;libraries,yelp
Free Library of Phila,1,4,39.920223,-75.170242,Libraries;libraries,yelp
Free Public Library of Audubon,1,4,39.891037,-75.069328,Libraries;libraries,yelp
Lansdowne Public Library,3,3.5,39.936512,-75.2715,Libraries;libraries,yelp
Collingswood Public Library,4,4,39.915754,-75.066957,Libraries;libraries,yelp
Free Library South Philadelphia Branch,1,2,39.9292259,-75.1695175,Libraries;libraries,yelp
Haverford Township Free Library,6,4,39.98134419,-75.30517794,Libraries;libraries,yelp
Free Library of Phila,1,4,40.0340771,-75.1763122,Libraries;libraries,yelp
West Philadelphia Regional Library,1,3,39.9575195,-75.2251968,Libraries;libraries,yelp
Free Library of Philadelphia - Nicetown-Tioga Branch,1,4,40.0098918,-75.1510866,Libraries;libraries,yelp
Springfield Township Library,4,3.5,39.9304077,-75.32965712,Libraries;libraries,yelp
Cherry Hill Public Library,7,4,39.920888,-75.00473,Libraries;libraries,yelp
Oaklyn Memorial Library,1,5,39.901905,-75.079987,Libraries;libraries,yelp
Collingdale Public Library,1,3,39.91155848,-75.27797431,Libraries;libraries,yelp
Woodbury Public Library,1,4,39.8383713,-75.1546097,Libraries;libraries,yelp
David Cohen Ogontz Branch - Free Library of Philadelphia,1,1,40.0467796,-75.1507645,Libraries;libraries,yelp
Northeast Regional Library,1,5,40.0485077,-75.0615768,Libraries;libraries,yelp
Free Library of Philadelphia - Lovett Branch,1,4,40.056207,-75.187487,Libraries;libraries,yelp
Ludington Library,4,3.5,40.020283,-75.318024,Libraries;libraries,yelp
Cinnaminson Branch Library,1,5,39.9919815,-74.9887009,Libraries;libraries,yelp
Free Library of Phila,1,3,40.06408028,-75.23964018,Libraries;libraries,yelp
Free Library of Philadelphia - Chestnut Hill Branch,2,2.5,40.077564,-75.209177,Libraries;libraries,yelp
Swarthmore Public Library,2,4.5,39.9014778,-75.3486633,Libraries;libraries,yelp
Free Library of Philadelphia - Welsh Road Branch,1,3,40.0753077,-75.0338331,Libraries;libraries,yelp
William Jeanes Memorial Library,1,3,40.098042,-75.25724,Libraries;libraries,yelp
Free Library of Philadelphia - Bustleton Branch,1,1,40.106128,-75.027053,Libraries;libraries,yelp
Maple Shade Municipal Building,1,2,39.959782,-74.997337,Libraries;libraries,yelp
Free Library of Springfield Township,1,5,40.1001716,-75.1954478,Libraries;libraries,yelp
Ridley Township Public Library,1,4,39.8863182,-75.3308868,Libraries;libraries,yelp
Free Library of Philadelphia - Fox Chase Branch,1,5,40.0765525,-75.082419,Libraries;libraries,yelp
Ridley Park Public Library,1,2,39.88081768,-75.32352023,Libraries;libraries,yelp
Marple Public Library,1,4,39.974453,-75.3634415,Libraries;libraries,yelp
Camden County Library,3,3,39.848152,-75.001266,Libraries;libraries,yelp
Conshohocken Free Library,1,5,40.075527,-75.304153,Libraries;libraries,yelp
Camden County of,1,5,39.848152,-75.001266,Libraries;libraries,yelp
Rosenbach Museum & Library,1,4,39.947285,-75.175018,Libraries;libraries|Arts & Entertainment;arts,yelp
Jenkins Law Library,1,5,39.94973704,-75.15446395,Libraries;libraries|Lawyers;lawyers,yelp
South Street Bridge,17,4,39.94679059,-75.18680528,Mobility;mobility,yelp
"West River - Martin Luther King, Jr Drive",10,4.5,39.98653309,-75.20507455,Mobility;mobility,yelp
Walt Whitman Bridge,15,4,39.9055667,-75.13025588,Mobility;mobility,yelp
Ben Franklin Bridge,57,4.5,39.95212211,-75.1294899,Mobility;mobility,yelp
Benjamin Franklin Bridge,14,3.5,39.95327318,-75.13599469,Mobility;mobility,yelp
Benjamin-Franklin-Bridge,3,5,39.9528,-75.1338,Mobility;mobility,yelp
Tacony Palmyra Bridge,11,3.5,39.9960785,-75.0319824,Mobility;mobility,yelp
Betsy Ross Bridge,2,4.5,39.985095,-75.066301,Mobility;mobility,yelp
Commodore John Barry Bridge,4,2.5,39.8061,-75.3394,Mobility;mobility,yelp
SEPTA,233,2,39.9516602,-75.1609726,Mobility;mobility,yelp
Bolt Bus,160,3.5,39.95583081,-75.18350426,Mobility;mobility,yelp
Amtrak,58,3,39.9548378,-75.1823959,Mobility;mobility,yelp
National Constitution Center,110,4,39.9527664,-75.1489716,Museums;museums,yelp
MÌ_tter Museum,431,4,39.953274,-75.176587,Museums;museums,yelp
The Franklin Institute Science Museum,264,3.5,39.9577789,-75.1724854,Museums;museums,yelp
Barnes Foundation,51,4.5,39.997639,-75.24102,Museums;museums|Art Schools;artschools,yelp
22nd Police District,1,1,39.98070145,-75.162117,Police Departments;policedepartments,yelp
Haverford Township Police Department,1,2,39.97517491,-75.30514006,Police Departments;policedepartments,yelp
Chester Police Department,1,4,39.85152054,-75.35928345,Police Departments;policedepartments,yelp
US Post Office - Bala Cynwyd,11,4,40.0046387,-75.2298203,Post Offices;postoffices,yelp
US Post Office,37,4.5,39.94106278,-75.14934562,Post Offices;postoffices,yelp
US Post Office - B Free Franklin,29,4,39.9501419,-75.1464844,Post Offices;postoffices,yelp
US Post Office,15,2,39.952518,-75.174805,Post Offices;postoffices,yelp
United States Post Office,9,2.5,39.9533806,-75.1659012,Post Offices;postoffices,yelp
US Post Office,14,2,39.96728472,-75.16965866,Post Offices;postoffices,yelp
US Post Office - Kingsessing,12,1.5,39.943996,-75.226677,Post Offices;postoffices,yelp
Post Office,6,1.5,39.99288641,-75.15804,Post Offices;postoffices,yelp
US Post Office,83,1.5,39.9306947,-75.16013749,Post Offices;postoffices,yelp
US Post Office,3,3.5,39.928435,-75.168422,Post Offices;postoffices,yelp
US Post Office,30,2,39.9531403,-75.1845703,Post Offices;postoffices,yelp
United States Post Office,13,1,40.00817165,-75.19261234,Post Offices;postoffices,yelp
U.S. Post Office - West Park,3,1,39.980181,-75.228328,Post Offices;postoffices,yelp
USPS,12,2,39.9389343,-75.1918488,Post Offices;postoffices,yelp
USPS Post Office,1,4,39.921299,-75.1468582,Post Offices;postoffices,yelp
United States Postal Service Land Title Station,9,2,39.949684,-75.163742,Post Offices;postoffices,yelp
US Post Office,12,1.5,39.97131,-75.167885,Post Offices;postoffices,yelp
US Post Office - John Wanamaker,12,2,39.95166,-75.160973,Post Offices;postoffices,yelp
US Post Office,34,1.5,39.951096,-75.155365,Post Offices;postoffices,yelp
United States Post Office,13,1.5,39.9742813,-75.1335297,Post Offices;postoffices,yelp
US Post Office,6,3,39.913929,-75.0620499,Post Offices;postoffices,yelp
USPS,2,2.5,40.0048676,-75.2298224,Post Offices;postoffices,yelp
United States Postal Service Eastern Regional,2,1,39.94930655,-75.15110247,Post Offices;postoffices,yelp
US Post Office,1,4,39.93654,-75.26358,Post Offices;postoffices,yelp
US Post Office,21,1.5,39.9531631,-75.2029877,Post Offices;postoffices,yelp
United States Post Office,5,3.5,40.02641402,-75.22582613,Post Offices;postoffices,yelp
United States Post Office,14,1,39.97161783,-75.14785767,Post Offices;postoffices,yelp
US Post Office,2,2.5,39.95742072,-75.22211764,Post Offices;postoffices,yelp
US Post Office,2,3,39.9949243,-75.10938976,Post Offices;postoffices,yelp
USPS,10,1,39.9534278,-75.1851464,Post Offices;postoffices,yelp
United States Postal Service,5,1.5,39.95474942,-75.18240117,Post Offices;postoffices,yelp
USPS,7,1,40.02958976,-75.16900554,Post Offices;postoffices,yelp
US Post Office,4,1.5,40.01209371,-75.08606695,Post Offices;postoffices,yelp
United States Post Office,16,1.5,40.035301,-75.217728,Post Offices;postoffices,yelp
Post Office,1,2,40.006653,-75.260826,Post Offices;postoffices,yelp
Post Office,3,2.5,39.88132814,-75.06023338,Post Offices;postoffices,yelp
USPS,1,1,40.0353813,-75.1212158,Post Offices;postoffices,yelp
USPS Post Office,3,1.5,39.9720719,-75.28700531,Post Offices;postoffices,yelp
USPS,1,2,40.0551,-75.1551,Post Offices;postoffices,yelp
US Post Office,3,2,39.83911261,-75.15264916,Post Offices;postoffices,yelp
Pilgrim Gardens Post Office,1,3,39.9548843,-75.32284,Post Offices;postoffices,yelp
USPS Holmesburg Station,1,5,40.0434837,-75.0228043,Post Offices;postoffices,yelp
US Post Office,5,2.5,40.02162427,-75.3174296,Post Offices;postoffices,yelp
United States Post Office,4,1,40.073566,-75.195404,Post Offices;postoffices,yelp
United States Post Office,8,1.5,40.074299,-75.202927,Post Offices;postoffices,yelp
United States Post Office,2,1,40.091217,-75.2595367,Post Offices;postoffices,yelp
US Post Office,5,1.5,40.099377,-75.029243,Post Offices;postoffices,yelp
US Post Office,1,4,39.826004,-75.087547,Post Offices;postoffices,yelp
U S Govt Post Office- Woodcrest,2,1.5,39.8730698,-75.0086899,Post Offices;postoffices,yelp
US Post Office,1,4,39.914871,-75.346409,Post Offices;postoffices,yelp
US Post Office,1,4,39.906879,-75.331649,Post Offices;postoffices,yelp
US Post Office,1,4,39.9011505,-75.3507329,Post Offices;postoffices,yelp
Usps Post Office,2,3,40.00452343,-74.97702745,Post Offices;postoffices,yelp
Post Office,4,2,39.900898,-74.977074,Post Offices;postoffices,yelp
USPS,1,1,40.0963977,-75.1284272,Post Offices;postoffices,yelp
USPS Post Office,1,4,40.10925271,-75.21381922,Post Offices;postoffices,yelp
Parcel Plus,6,3,40.06233551,-75.2374877,Post Offices;postoffices|Shipping Centers;shipping_centers|Notaries;notaries,yelp
"""Your Move"" Sculpture",1,4,39.95339669,-75.16329846,Public Art;publicart,yelp
Philadelphia US Citizenship & Immigration Services,6,4,39.958519,-75.20549,Public Services & Government;publicservicesgovt,yelp
Philadelphia Police Department,8,3.5,39.95740891,-75.15093994,Public Services & Government;publicservicesgovt,yelp
City Hall,50,4,39.953849,-75.164191,Public Services & Government;publicservicesgovt,yelp
MANNA - Metropolitan Area Neighborhood Nutrition Alliance,6,5,39.95345257,-75.17830476,Public Services & Government;publicservicesgovt,yelp
Franklin Court,21,4,39.9501419,-75.1464844,Public Services & Government;publicservicesgovt,yelp
City of Philadelphia,29,4,39.9513,-75.15852,Public Services & Government;publicservicesgovt,yelp
American Civil Liberties Union,1,5,39.94834518,-75.14427948,Public Services & Government;publicservicesgovt,yelp
SEPTA R-1 Eastwick Station,4,3,39.89559174,-75.23267365,Public Services & Government;publicservicesgovt,yelp
Center City District,1,5,39.9492871,-75.15169658,Public Services & Government;publicservicesgovt,yelp
Consulate General of Italy,1,5,39.948933,-75.151474,Public Services & Government;publicservicesgovt,yelp
Pennsylvania Environmental Council,1,5,39.948524,-75.143616,Public Services & Government;publicservicesgovt,yelp
United States District Courthouse,3,4,39.95080791,-75.15053652,Public Services & Government;publicservicesgovt,yelp
Philadelphia Partnership Recycling Program,1,5,39.96065028,-75.14146999,Public Services & Government;publicservicesgovt,yelp
Old City District,4,3.5,39.95009176,-75.14469333,Public Services & Government;publicservicesgovt,yelp
USO of Phila,31,4.5,39.87361526,-75.24758911,Public Services & Government;publicservicesgovt,yelp
Philly311,1,1,null,null,Public Services & Government;publicservicesgovt,yelp
TSA Checkpoint D - Philadelphia International Airport,1,3,39.89496633,-75.22903875,Public Services & Government;publicservicesgovt,yelp
Surrey Services For Seniors,1,5,39.9822199,-75.2928003,Public Services & Government;publicservicesgovt,yelp
Fern Rock Transportation Center,5,2.5,40.04200777,-75.13695961,Public Services & Government;publicservicesgovt,yelp
TSA Checkpoint Checkpoint F - Philadelphia International Airport,1,1,39.89496633,-75.22903875,Public Services & Government;publicservicesgovt,yelp
Schuylkill Expressway,15,1.5,39.96201283,-75.18319073,Public Services & Government;publicservicesgovt,yelp
Spuce-Pine Street Bicycle Lanes,1,2,39.95193863,-75.15875244,Public Services & Government;publicservicesgovt,yelp
Social Security Administration,1,2,39.9570236,-75.1997681,Public Services & Government;publicservicesgovt,yelp
TSA Checkpoint Checkpoint E - Philadelphia International Airport,1,4,39.89496633,-75.22903875,Public Services & Government;publicservicesgovt,yelp
Mayor's Office,1,1,39.9525986,-75.1625214,Public Services & Government;publicservicesgovt,yelp
Records Department of City Hall,1,3,39.9525986,-75.1625214,Public Services & Government;publicservicesgovt,yelp
Philadelphia Gas Works,23,1.5,39.958355,-75.22628,Public Services & Government;publicservicesgovt,yelp
Michael Nutter,4,2.5,39.99897474,-75.03044331,Public Services & Government;publicservicesgovt,yelp
Springfield Township Police Dept,1,1,40.0981941,-75.1972351,Public Services & Government;publicservicesgovt,yelp
Camden County,1,4,39.84998743,-75.00304558,Public Services & Government;publicservicesgovt,yelp
Port Authority Transit Corporation,2,4.5,39.80635,-75.00218,Public Services & Government;publicservicesgovt,yelp
Philadelphia County Assistance Office-South District,1,2,39.935939,-75.16661,Public Services & Government;publicservicesgovt|Community Service/Non-Profit;nonprofit,yelp
GALAEI,2,4.5,39.950733,-75.1605,Public Services & Government;publicservicesgovt|Counseling & Mental Health;c_and_mh,yelp
John Heinz National Wildlife Refuge At Tinicum,25,4,39.89482753,-75.25494687,Public Services & Government;publicservicesgovt|Education;education|Hiking;hiking,yelp
Prompt Passport Services,1,5,39.922718,-75.18116,Public Services & Government;publicservicesgovt|Travel Services;travelservices,yelp
Independence Visitor Center,69,4.5,39.95086759,-75.15028171,Public Services & Government;publicservicesgovt|Travel Services;travelservices|Ticket Sales;ticketsales,yelp
Water Revenue Bureau,1,1,39.954159,-75.164459,Utilities;utilities,yelp
Haddon Heights Community Center,2,4.5,39.881847,-75.059822,,yelp
Berkheimer Associates,4,3,40.1057892,-75.344101,,yelp
